ph,turbidity_ntu,tds_ppm,temperature_c,risk_label
6.86,0.2,345.5,29.7,SAFE
7.61,2.2,282.4,26.6,SAFE
7.07,0.55,246.1,19.8,SAFE
4.76,5.43,914.4,25.2,ACID_MINE_DRAINAGE_RISK
5.76,14.27,436.3,24.9,IRON_MANGANESE_RISK
5.17,5.0,1336.9,27.7,ACID_MINE_DRAINAGE_RISK
4.72,6.47,835.6,29.1,ACID_MINE_DRAINAGE_RISK
6.81,0.54,213.7,25.6,SAFE
7.19,35.05,398.9,26.8,MICROBIAL_RISK
7.12,0.3,404.6,21.6,SAFE
6.44,11.29,741.8,28.1,IRON_MANGANESE_RISK
6.68,13.17,556.5,23.0,IRON_MANGANESE_RISK
7.74,0.32,414.4,22.3,SAFE
5.06,9.01,1190.4,25.4,ACID_MINE_DRAINAGE_RISK
6.85,15.35,1155.8,24.2,IRON_MANGANESE_RISK
5.15,5.75,1122.9,22.0,ACID_MINE_DRAINAGE_RISK
8.74,0.6,1213.2,30.4,FLUORIDE_RISK
6.98,1.69,279.9,26.5,SAFE
9.25,1.38,1604.0,28.7,FLUORIDE_RISK
6.69,12.76,751.0,25.5,IRON_MANGANESE_RISK
4.88,7.24,1165.3,27.0,ACID_MINE_DRAINAGE_RISK
4.96,5.51,1027.7,28.1,ACID_MINE_DRAINAGE_RISK
7.23,0.54,244.6,29.2,SAFE
6.33,27.79,527.2,34.9,MICROBIAL_RISK
7.49,0.26,299.3,24.9,SAFE
6.63,34.14,382.0,28.4,MICROBIAL_RISK
6.63,19.61,439.7,27.2,IRON_MANGANESE_RISK
8.18,1.18,240.8,23.3,SAFE
7.98,0.11,389.9,20.3,SAFE
5.14,7.84,871.3,28.6,ACID_MINE_DRAINAGE_RISK
7.24,0.35,291.5,26.7,SAFE
6.47,19.23,408.9,26.4,IRON_MANGANESE_RISK
6.72,0.36,415.3,26.6,SAFE
8.99,2.29,1815.1,29.1,FLUORIDE_RISK
7.64,0.16,334.0,21.3,SAFE
6.04,16.63,503.8,27.6,IRON_MANGANESE_RISK
7.61,1.24,421.5,27.5,SAFE
8.06,0.38,248.8,22.6,SAFE
7.45,26.08,665.1,31.1,MICROBIAL_RISK
4.94,13.3,1256.4,24.9,ACID_MINE_DRAINAGE_RISK
7.32,0.22,309.0,24.3,SAFE
7.59,1.68,357.9,24.8,SAFE
6.92,34.22,645.5,29.3,MICROBIAL_RISK
7.39,1.75,220.3,26.9,SAFE
8.01,0.67,404.6,25.2,SAFE
6.72,18.22,443.3,24.1,IRON_MANGANESE_RISK
6.49,15.03,653.6,27.7,IRON_MANGANESE_RISK
5.44,9.34,1338.5,28.6,ACID_MINE_DRAINAGE_RISK
8.55,0.6,1499.5,26.4,FLUORIDE_RISK
8.23,0.3,170.6,23.8,SAFE
7.33,1.14,248.6,24.0,SAFE
4.67,8.2,917.4,27.5,ACID_MINE_DRAINAGE_RISK
8.26,0.71,467.5,18.9,SAFE
6.46,12.22,399.6,24.5,IRON_MANGANESE_RISK
7.96,0.2,345.4,20.2,SAFE
6.02,17.67,968.3,28.1,IRON_MANGANESE_RISK
4.66,3.3,1040.7,31.7,ACID_MINE_DRAINAGE_RISK
6.0,0.21,238.0,19.0,SAFE
4.32,5.4,1132.7,30.6,ACID_MINE_DRAINAGE_RISK
4.24,7.51,1327.4,26.5,ACID_MINE_DRAINAGE_RISK
5.14,6.78,1265.5,31.0,ACID_MINE_DRAINAGE_RISK
4.36,8.22,1117.7,28.1,ACID_MINE_DRAINAGE_RISK
8.87,2.02,1263.2,28.0,FLUORIDE_RISK
6.25,11.51,596.7,27.9,IRON_MANGANESE_RISK
9.34,2.45,1638.9,26.4,FLUORIDE_RISK
6.23,6.85,466.9,24.7,IRON_MANGANESE_RISK
9.25,1.63,1779.6,30.6,FLUORIDE_RISK
7.63,1.5,424.4,25.1,SAFE
7.2,0.11,388.3,26.0,SAFE
